Designer,Category,Num of Years Since 1st Listed,Num of Years Listed,Founding Year,Age,Age (copy),Age Group,Listed?,Status,Rank,Year,Relative Age
Burberry,Luxury,19,19,1856,168,168,100 to 200 Years,1,Existing,19,2013,157
Carolina Herrera,Luxury,16,16,1980,44,44,20 to 50 Years,1,Existing,20,2013,33
Casadei,Premium,12,4,2009,15,15,10 to 20 Years,1,Existing,21,2013,4
Charlotte Olympia,Premium,12,6,2009,15,15,10 to 20 Years,1,Existing,22,2013,4
Chloe,Luxury,19,19,1952,72,72,50 to 100 Years,1,Existing,23,2013,61
Christian Louboutin,Luxury,19,19,1991,33,33,20 to 50 Years,1,Existing,24,2013,22
Current/Elliott,Contemporary,14,13,2008,16,16,10 to 20 Years,1,Existing,25,2013,5
Derek Lam,Premium,18,16,1978,46,46,20 to 50 Years,1,Existing,26,2013,35
Diane Von Furstenberg,Contemporary,15,15,1972,52,52,50 to 100 Years,1,Existing,27,2013,41
Dolce & Gabbana,Luxury,19,19,1985,39,39,20 to 50 Years,1,Existing,28,2013,28
Donna Karan,Contemporary,15,9,1984,40,40,20 to 50 Years,1,Existing,29,2013,29
Dsquared2,Contemporary,17,5,1995,29,29,20 to 50 Years,1,Existing,30,2013,18
Eileen Fisher,Contemporary,19,19,1984,40,40,20 to 50 Years,1,Existing,31,2013,29
Elie Saab,Contemporary,12,9,1982,42,42,20 to 50 Years,1,Existing,32,2013,31
Elie Tahari,Contemporary,19,18,1974,50,50,20 to 50 Years,1,Existing,33,2013,39
Elizabeth And James,Contemporary,15,12,2007,17,17,10 to 20 Years,1,Existing,34,2013,6
Emilio Pucci,Luxury,19,19,1947,77,77,50 to 100 Years,1,Existing,35,2013,66
Equipment,Contemporary,12,12,1976,48,48,20 to 50 Years,1,Existing,36,2013,37
Erdem,Premium,13,13,1968,56,56,50 to 100 Years,1,Existing,37,2013,45
Escada,Premium,17,16,1922,102,102,100 to 200 Years,1,Existing,38,2013,91
Eskandar,Premium,19,17,2001,23,23,20 to 50 Years,1,Existing,39,2013,12
Etro,Luxury,19,19,1968,56,56,50 to 100 Years,1,Existing,40,2013,45
Fendi,Luxury,19,19,1925,99,99,50 to 100 Years,1,Existing,41,2013,88
Ferragamo,Premium,19,16,2003,21,21,20 to 50 Years,1,Existing,42,2013,10
Fuzzi,Contemporary,11,10,1954,70,70,50 to 100 Years,1,Existing,43,2013,59
Giambattista Valli,Luxury,12,7,2005,19,19,10 to 20 Years,1,Existing,44,2013,8
Giorgio Armani,Luxury,17,17,1975,49,49,20 to 50 Years,1,Existing,45,2013,38
Giuseppe Zanotti,Premium,19,19,1994,30,30,20 to 50 Years,1,Existing,46,2013,19
Gucci,Luxury,19,18,1921,103,103,100 to 200 Years,1,Existing,47,2013,92
Halston Heritage,Contemporary,13,10,2009,15,15,10 to 20 Years,1,Existing,48,2013,4
Helmut Lang,Contemporary,13,13,1986,38,38,20 to 50 Years,1,Existing,49,2013,27
Herve Leger,Contemporary,13,13,1985,39,39,20 to 50 Years,1,Existing,50,2013,28
Hudson,Contemporary,14,14,2002,22,22,20 to 50 Years,1,Existing,51,2013,11
Hunter Boot,Contemporary,12,6,1856,168,168,100 to 200 Years,1,Existing,52,2013,157
J Brand Jeans,Contemporary,16,8,2004,20,20,10 to 20 Years,1,Existing,53,2013,9
J. Mendel,Luxury,12,6,1870,154,154,100 to 200 Years,1,Existing,54,2013,143
Jason Wu,Premium,13,11,2003,21,21,20 to 50 Years,1,Existing,55,2013,10
Jean Paul Gaultier,Luxury,19,14,1982,42,42,20 to 50 Years,1,Existing,56,2013,31
Jil Sander,Premium,14,12,1998,26,26,20 to 50 Years,1,Existing,57,2013,15
Jimmy Choo,Luxury,16,16,1996,28,28,20 to 50 Years,1,Existing,58,2013,17
Johnny Was,Contemporary,15,15,1987,37,37,20 to 50 Years,1,Existing,59,2013,26
Judith Leiber,Premium,19,9,1963,61,178,50 to 100 Years,1,Existing,60,2013,50
Just Cavalli,Contemporary,19,16,1998,26,26,20 to 50 Years,1,Existing,61,2013,15
Kotur,Contemporary,12,5,2004,20,20,10 to 20 Years,1,Existing,62,2013,9
La Perla,Contemporary,18,18,1954,70,70,50 to 100 Years,1,Existing,63,2013,59
Lafayette 148 New York,Contemporary,17,17,1996,28,28,20 to 50 Years,1,Existing,64,2013,17
Lanvin,Luxury,12,7,1889,135,135,100 to 200 Years,1,Existing,65,2013,124
Lela Rose,Contemporary,16,16,1998,26,26,20 to 50 Years,1,Existing,66,2013,15
Loeffler Randall,Contemporary,17,15,2005,19,19,10 to 20 Years,1,Existing,67,2013,8
Longchamp,Contemporary,11,10,1948,76,76,50 to 100 Years,1,Existing,68,2013,65
Loro Piana,Luxury,17,17,1924,100,100,50 to 100 Years,1,Existing,69,2013,89
M Missoni,Contemporary,18,16,1998,26,26,20 to 50 Years,1,Existing,70,2013,15
Magaschoni,Contemporary,15,9,1989,35,35,20 to 50 Years,1,Existing,71,2013,24
Maison Martin Margiela,Luxury,12,4,1988,36,36,20 to 50 Years,1,Existing,72,2013,25
Manolo Blahnik,Luxury,19,19,1970,54,54,50 to 100 Years,1,Existing,73,2013,43
Mara Hoffman,Contemporary,11,11,2000,24,24,20 to 50 Years,1,Existing,74,2013,13
Marc By Marc Jacobs,Contemporary,17,10,2000,24,24,20 to 50 Years,1,Existing,75,2013,13
Marc Jacobs,Premium,19,18,1984,40,40,20 to 50 Years,1,Existing,76,2013,29
Mary Katrantzou,Premium,12,7,1988,36,36,20 to 50 Years,1,Existing,77,2013,25
Mcq Alexander Mcqueen,Contemporary,12,10,2005,19,19,10 to 20 Years,1,Existing,78,2013,8
Michael Kors,Contemporary,19,12,1981,43,43,20 to 50 Years,1,Existing,79,2013,32
Michael Michael Kors,Contemporary,12,12,2004,20,20,10 to 20 Years,1,Existing,80,2013,9
Milly,Contemporary,19,19,2001,23,23,20 to 50 Years,1,Existing,81,2013,12
Missoni,Luxury,18,18,1953,71,71,50 to 100 Years,1,Existing,82,2013,60
Miu Miu,Premium,19,18,1993,31,31,20 to 50 Years,1,Existing,83,2013,20
Ml Monique Lhuillier,Contemporary,12,11,1996,28,28,20 to 50 Years,1,Existing,84,2013,17
Moncler,Luxury,13,13,1952,72,72,50 to 100 Years,1,Existing,85,2013,61
Monique Lhuillier,Contemporary,12,12,1996,28,28,20 to 50 Years,1,Existing,86,2013,17
Mother Denim,Contemporary,12,4,2010,14,14,10 to 20 Years,1,Existing,87,2013,3
Naeem Khan,Premium,12,11,2008,16,16,10 to 20 Years,1,Existing,88,2013,5
Nancy Gonzalez,Premium,18,17,2001,23,23,20 to 50 Years,1,Existing,89,2013,12
Narciso Rodriguez,Premium,19,15,1938,86,86,50 to 100 Years,1,Existing,90,2013,75
Neiman Marcus,Contemporary,16,16,1907,117,117,100 to 200 Years,1,Existing,91,2013,106
Nicholas Kirkwood,Contemporary,12,5,2005,19,19,10 to 20 Years,1,Existing,92,2013,8
Nicole Miller,Contemporary,18,13,1982,42,42,20 to 50 Years,1,Existing,93,2013,31
Nina Ricci,Luxury,15,12,1932,92,92,50 to 100 Years,1,Existing,94,2013,81
Norma Kamali,Contemporary,17,12,1967,57,57,50 to 100 Years,1,Existing,95,2013,46
Oscar De La Renta,Luxury,18,18,1965,59,59,50 to 100 Years,1,Existing,96,2013,48
Paige Denim,Contemporary,11,5,2004,20,20,10 to 20 Years,1,Existing,97,2013,9
Pamella Roland,Contemporary,12,12,2002,22,22,20 to 50 Years,1,Existing,98,2013,11
Parker,Contemporary,13,12,2008,16,16,10 to 20 Years,1,Existing,99,2013,5
Pedro Garcia,Contemporary,15,15,1925,99,99,50 to 100 Years,1,Existing,100,2013,88
Piazza Sempione,Contemporary,19,19,1991,33,33,20 to 50 Years,1,Existing,101,2013,22
Prada,Luxury,19,19,1913,111,111,100 to 200 Years,1,Existing,102,2013,100
Proenza Schouler,Premium,16,16,1997,27,27,20 to 50 Years,1,Existing,103,2013,16
Rachel Zoe,Contemporary,12,9,2011,13,13,10 to 20 Years,1,Existing,104,2013,2
Rag & Bone,Contemporary,15,14,2002,22,22,20 to 50 Years,1,Existing,105,2013,11
Rag & Bone/Jean,Contemporary,12,6,2002,22,22,20 to 50 Years,1,Existing,106,2013,11
Ramy Brook,Contemporary,11,11,2010,14,14,10 to 20 Years,1,Existing,107,2013,3
Rebecca Minkoff,Contemporary,13,11,2005,19,19,10 to 20 Years,1,Existing,108,2013,8
Rebecca Taylor,Contemporary,17,17,1996,28,28,20 to 50 Years,1,Existing,109,2013,17
Red Valentino,Contemporary,14,8,2003,21,21,20 to 50 Years,1,Existing,110,2013,10
Reed Krakoff,Contemporary,11,3,2010,14,14,10 to 20 Years,1,Existing,111,2013,3
Rene Caovilla,Premium,18,15,2004,20,20,10 to 20 Years,1,Existing,112,2013,9
Rich And Skinny,Contemporary,16,4,2006,18,18,10 to 20 Years,1,Existing,113,2013,7
Rick Owens,Premium,12,5,2014,10,10,5 to 10 Years,1,Existing,114,2013,-1
Rickie Freeman For Teri Jon,Contemporary,15,14,1979,45,45,20 to 50 Years,1,Existing,115,2013,34
Robert Clergerie,Premium,19,11,2007,17,17,10 to 20 Years,1,Existing,116,2013,6
Robert Rodriguez,Contemporary,18,12,2003,21,21,20 to 50 Years,1,Existing,117,2013,10
Roberto Cavalli,Premium,19,16,1927,97,97,50 to 100 Years,1,Existing,118,2013,86
Roland Mouret,Premium,12,12,1981,43,43,20 to 50 Years,1,Existing,119,2013,32
Salvatore Ferragamo,Luxury,19,19,1927,97,97,50 to 100 Years,1,Existing,120,2013,86
See By Chloe,Contemporary,17,17,2001,23,23,20 to 50 Years,1,Existing,121,2013,12
Sergio Rossi,Premium,14,7,2008,16,16,10 to 20 Years,1,Existing,122,2013,5
Shoshanna,Contemporary,18,18,1998,26,26,20 to 50 Years,1,Existing,123,2013,15
Smythe,Contemporary,12,11,2004,20,20,10 to 20 Years,1,Existing,124,2013,9
St. John,Contemporary,18,16,1962,62,62,50 to 100 Years,1,Existing,125,2013,51
Stella Mccartney,Premium,17,17,1970,54,54,50 to 100 Years,1,Existing,126,2013,43
Stuart Weitzman,Contemporary,19,19,1986,38,38,20 to 50 Years,1,Existing,127,2013,27
T By Alexander Wang,Contemporary,12,8,2009,15,15,10 to 20 Years,1,Existing,128,2013,4
Tabitha Simmons,Premium,11,6,1986,38,38,20 to 50 Years,1,Existing,129,2013,27
Tadashi Shoji,Contemporary,13,12,1982,42,42,20 to 50 Years,1,Existing,130,2013,31
Thakoon,Contemporary,15,5,2004,20,20,10 to 20 Years,1,Existing,131,2013,9
Theia,Contemporary,12,12,2009,15,15,10 to 20 Years,1,Existing,132,2013,4
Theory,Contemporary,19,19,1997,27,27,20 to 50 Years,1,Existing,133,2013,16
Theyskens' Theory,Contemporary,12,4,1997,27,27,20 to 50 Years,1,Existing,134,2013,16
Tibi,Contemporary,13,13,1997,27,27,20 to 50 Years,1,Existing,135,2013,16
Tory Burch,Contemporary,17,17,2004,20,20,10 to 20 Years,1,Existing,136,2013,9
Tracy Reese,Contemporary,18,10,1998,26,26,20 to 50 Years,1,Existing,137,2013,15
Valentino,Luxury,19,19,1960,64,64,50 to 100 Years,1,Existing,138,2013,53
Vera Wang,Contemporary,18,9,1990,34,34,20 to 50 Years,1,Existing,139,2013,23
Versace,Luxury,17,17,1978,46,46,20 to 50 Years,1,Existing,140,2013,35
Vince,Contemporary,19,19,2002,22,22,20 to 50 Years,1,Existing,141,2013,11
Vix,Contemporary,18,14,1998,26,26,20 to 50 Years,1,Existing,142,2013,15
Wolford,Contemporary,19,19,1950,74,74,50 to 100 Years,1,Existing,143,2013,63
Xcvi,Contemporary,15,15,1996,28,28,20 to 50 Years,1,Existing,144,2013,17
Xirena,Contemporary,11,8,2011,13,13,10 to 20 Years,1,Existing,145,2013,2
Yves Saint Laurent,Luxury,18,10,1961,63,63,50 to 100 Years,1,Existing,146,2013,52
Zac Posen,Premium,19,17,1998,26,26,20 to 50 Years,1,Existing,147,2013,15
10 Crosby Derek Lam,Contemporary,11,3,2011,13,13,10 to 20 Years,1,Existing,1,2014,3
3.1 Phillip Lim,Contemporary,16,16,2005,19,19,10 to 20 Years,1,Existing,2,2014,9
Adam Lippes,Contemporary,10,7,2004,20,20,10 to 20 Years,1,Existing,3,2014,10
Akris,Premium,16,16,2002,22,22,20 to 50 Years,1,Existing,4,2014,12
Akris Punto,Contemporary,16,16,1995,29,29,20 to 50 Years,1,Existing,5,2014,19
Alexander Mcqueen,Luxury,17,17,1992,32,32,20 to 50 Years,1,Existing,6,2014,22
Alexander Wang,Contemporary,12,10,2005,19,19,10 to 20 Years,1,Existing,7,2014,9
Alexandre Birman,Premium,12,11,2008,16,16,10 to 20 Years,1,Existing,8,2014,6
Alexis,Contemporary,10,10,2008,16,16,10 to 20 Years,1,Existing,9,2014,6
Alice + Olivia,Contemporary,18,18,2002,22,22,20 to 50 Years,1,Existing,10,2014,12
Altuzarra,Premium,11,11,1994,30,30,20 to 50 Years,1,Existing,11,2014,20
Amanda Uprichard,Contemporary,11,9,2003,21,21,20 to 50 Years,1,Existing,12,2014,11
Aquazzura,Premium,10,10,2006,18,18,10 to 20 Years,1,Existing,13,2014,8
Armani Collezioni,Luxury,19,14,1979,45,45,20 to 50 Years,1,Existing,14,2014,35
Badgley Mischka,Contemporary,15,14,1988,36,36,20 to 50 Years,1,Existing,15,2014,26
Bailey 44,Contemporary,12,12,2006,18,18,10 to 20 Years,1,Existing,16,2014,8
Balenciaga,Luxury,11,11,1917,107,107,100 to 200 Years,1,Existing,17,2014,97
Belstaff,Contemporary,10,5,1924,100,100,50 to 100 Years,1,Existing,18,2014,90
Black Halo,Contemporary,15,14,2002,22,22,20 to 50 Years,1,Existing,19,2014,12
Bottega Veneta,Luxury,19,19,1966,58,58,50 to 100 Years,1,Existing,20,2014,48
Brian Atwood,Premium,17,7,1951,73,73,50 to 100 Years,1,Existing,21,2014,63
Brunello Cucinelli,Luxury,13,13,1978,46,46,20 to 50 Years,1,Existing,22,2014,36
Burberry,Luxury,19,19,1856,168,168,100 to 200 Years,1,Existing,23,2014,158
Burberry Brit,Premium,10,2,2007,17,17,10 to 20 Years,1,Existing,24,2014,7
Carolina Herrera,Luxury,16,16,1980,44,44,20 to 50 Years,1,Existing,25,2014,34
Casadei,Premium,12,4,2009,15,15,10 to 20 Years,1,Existing,26,2014,5
Charlotte Olympia,Premium,12,6,2009,15,15,10 to 20 Years,1,Existing,27,2014,5
Chloe,Luxury,19,19,1952,72,72,50 to 100 Years,1,Existing,28,2014,62
Christian Louboutin,Luxury,19,19,1991,33,33,20 to 50 Years,1,Existing,29,2014,23
Current/Elliott,Contemporary,14,13,2008,16,16,10 to 20 Years,1,Existing,30,2014,6
Derek Lam,Premium,18,16,1978,46,46,20 to 50 Years,1,Existing,31,2014,36
Diane Von Furstenberg,Contemporary,15,15,1972,52,52,50 to 100 Years,1,Existing,32,2014,42
Dolce & Gabbana,Luxury,19,19,1985,39,39,20 to 50 Years,1,Existing,33,2014,29
Donna Karan,Contemporary,15,9,1984,40,40,20 to 50 Years,1,Existing,34,2014,30
Eileen Fisher,Contemporary,19,19,1984,40,40,20 to 50 Years,1,Existing,35,2014,30
Elie Saab,Contemporary,12,9,1982,42,42,20 to 50 Years,1,Existing,36,2014,32
Elie Tahari,Contemporary,19,18,1974,50,50,20 to 50 Years,1,Existing,37,2014,40
Elizabeth And James,Contemporary,15,12,2007,17,17,10 to 20 Years,1,Existing,38,2014,7
Emilio Pucci,Luxury,19,19,1947,77,77,50 to 100 Years,1,Existing,39,2014,67
Equipment,Contemporary,12,12,1976,48,48,20 to 50 Years,1,Existing,40,2014,38
Erdem,Premium,13,13,1968,56,56,50 to 100 Years,1,Existing,41,2014,46
Escada,Premium,17,16,1922,102,102,100 to 200 Years,1,Existing,42,2014,92
Eskandar,Premium,19,17,2001,23,23,20 to 50 Years,1,Existing,43,2014,13
Etro,Luxury,19,19,1968,56,56,50 to 100 Years,1,Existing,44,2014,46
Faith Connexion,Contemporary,10,2,2004,20,20,10 to 20 Years,1,Existing,45,2014,10
Fendi,Luxury,19,19,1925,99,99,50 to 100 Years,1,Existing,46,2014,89
Ferragamo,Premium,19,16,2003,21,21,20 to 50 Years,1,Existing,47,2014,11
Gianvito Rossi,Premium,10,10,1963,61,61,50 to 100 Years,1,Existing,48,2014,51
Giorgio Armani,Luxury,17,17,1975,49,49,20 to 50 Years,1,Existing,49,2014,39
Giuseppe Zanotti,Premium,19,19,1994,30,30,20 to 50 Years,1,Existing,50,2014,20
Gucci,Luxury,19,18,1921,103,103,100 to 200 Years,1,Existing,51,2014,93
Halston Heritage,Contemporary,13,10,2009,15,15,10 to 20 Years,1,Existing,52,2014,5
Helmut Lang,Contemporary,13,13,1986,38,38,20 to 50 Years,1,Existing,53,2014,28
Herve Leger,Contemporary,13,13,1985,39,39,20 to 50 Years,1,Existing,54,2014,29
Hudson,Contemporary,14,14,2002,22,22,20 to 50 Years,1,Existing,55,2014,12
Hunter Boot,Contemporary,12,6,1856,168,168,100 to 200 Years,1,Existing,56,2014,158
J Brand,Contemporary,10,9,2004,20,20,10 to 20 Years,1,Existing,57,2014,10
J Brand Jeans,Contemporary,16,8,2004,20,20,10 to 20 Years,1,Existing,58,2014,10
J. Mendel,Luxury,12,6,1870,154,154,100 to 200 Years,1,Existing,59,2014,144
Jason Wu,Premium,13,11,2003,21,21,20 to 50 Years,1,Existing,60,2014,11
Jean Paul Gaultier,Luxury,19,14,1982,42,42,20 to 50 Years,1,Existing,61,2014,32
Jil Sander,Premium,14,12,1998,26,26,20 to 50 Years,1,Existing,62,2014,16
Jimmy Choo,Luxury,16,16,1996,28,28,20 to 50 Years,1,Existing,63,2014,18
Joe'S Jeans,Contemporary,10,10,2001,23,23,20 to 50 Years,1,Existing,64,2014,13
Johnny Was,Contemporary,15,15,1987,37,37,20 to 50 Years,1,Existing,65,2014,27
Judith Leiber,Premium,19,9,1963,61,178,50 to 100 Years,1,Existing,66,2014,51
Just Cavalli,Contemporary,19,16,1998,26,26,20 to 50 Years,1,Existing,67,2014,16
Kotur,Contemporary,12,5,2004,20,20,10 to 20 Years,1,Existing,68,2014,10
L'Agence,Contemporary,10,8,2008,16,16,10 to 20 Years,1,Existing,69,2014,6
La Perla,Contemporary,18,18,1954,70,70,50 to 100 Years,1,Existing,70,2014,60
Lafayette 148 New York,Contemporary,17,17,1996,28,28,20 to 50 Years,1,Existing,71,2014,18
Lanvin,Luxury,12,7,1889,135,135,100 to 200 Years,1,Existing,72,2014,125
Lela Rose,Contemporary,16,16,1998,26,26,20 to 50 Years,1,Existing,73,2014,16
Loeffler Randall,Contemporary,17,15,2005,19,19,10 to 20 Years,1,Existing,74,2014,9
Longchamp,Contemporary,11,10,1948,76,76,50 to 100 Years,1,Existing,75,2014,66
Loro Piana,Luxury,17,17,1924,100,100,50 to 100 Years,1,Existing,76,2014,90
M Missoni,Contemporary,18,16,1998,26,26,20 to 50 Years,1,Existing,77,2014,16
Magaschoni,Contemporary,15,9,1989,35,35,20 to 50 Years,1,Existing,78,2014,25
Maison Martin Margiela,Luxury,12,4,1988,36,36,20 to 50 Years,1,Existing,79,2014,26
Manolo Blahnik,Luxury,19,19,1970,54,54,50 to 100 Years,1,Existing,80,2014,44
Mara Hoffman,Contemporary,11,11,2000,24,24,20 to 50 Years,1,Existing,81,2014,14
Marc By Marc Jacobs,Contemporary,17,10,2000,24,24,20 to 50 Years,1,Existing,82,2014,14
Marc Jacobs,Premium,19,18,1984,40,40,20 to 50 Years,1,Existing,83,2014,30
Marchesa,Premium,17,13,2005,19,19,10 to 20 Years,1,Existing,84,2014,9
Marni,Premium,10,10,2011,13,13,10 to 20 Years,1,Existing,85,2014,3
Mary Katrantzou,Premium,12,7,1988,36,36,20 to 50 Years,1,Existing,86,2014,26
Mcq Alexander Mcqueen,Contemporary,12,10,2005,19,19,10 to 20 Years,1,Existing,87,2014,9
Michael Kors,Contemporary,19,12,1981,43,43,20 to 50 Years,1,Existing,88,2014,33
Michael Michael Kors,Contemporary,12,12,2004,20,20,10 to 20 Years,1,Existing,89,2014,10
Milly,Contemporary,19,19,2001,23,23,20 to 50 Years,1,Existing,90,2014,13
Missoni,Luxury,18,18,1953,71,71,50 to 100 Years,1,Existing,91,2014,61
Miu Miu,Premium,19,18,1993,31,31,20 to 50 Years,1,Existing,92,2014,21
Ml Monique Lhuillier,Contemporary,12,11,1996,28,28,20 to 50 Years,1,Existing,93,2014,18
Moncler,Luxury,13,13,1952,72,72,50 to 100 Years,1,Existing,94,2014,62
Monique Lhuillier,Contemporary,12,12,1996,28,28,20 to 50 Years,1,Existing,95,2014,18
Naeem Khan,Premium,12,11,2008,16,16,10 to 20 Years,1,Existing,96,2014,6
Nancy Gonzalez,Premium,18,17,2001,23,23,20 to 50 Years,1,Existing,97,2014,13
Narciso Rodriguez,Premium,19,15,1938,86,86,50 to 100 Years,1,Existing,98,2014,76
Neiman Marcus,Contemporary,16,16,1907,117,117,100 to 200 Years,1,Existing,99,2014,107
Nicholas Kirkwood,Contemporary,12,5,2005,19,19,10 to 20 Years,1,Existing,100,2014,9
Nicole Miller,Contemporary,18,13,1982,42,42,20 to 50 Years,1,Existing,101,2014,32
Nina Ricci,Luxury,15,12,1932,92,92,50 to 100 Years,1,Existing,102,2014,82
Norma Kamali,Contemporary,17,12,1967,57,57,50 to 100 Years,1,Existing,103,2014,47
Oscar De La Renta,Luxury,18,18,1965,59,59,50 to 100 Years,1,Existing,104,2014,49
Paige Denim,Contemporary,11,5,2004,20,20,10 to 20 Years,1,Existing,105,2014,10
Pamella Roland,Contemporary,12,12,2002,22,22,20 to 50 Years,1,Existing,106,2014,12
Parker,Contemporary,13,12,2008,16,16,10 to 20 Years,1,Existing,107,2014,6
Paul Andrew,Premium,10,3,2009,15,15,10 to 20 Years,1,Existing,108,2014,5
Pedro Garcia,Contemporary,15,15,1925,99,99,50 to 100 Years,1,Existing,109,2014,89
Piazza Sempione,Contemporary,19,19,1991,33,33,20 to 50 Years,1,Existing,110,2014,23
Prada,Luxury,19,19,1913,111,111,100 to 200 Years,1,Existing,111,2014,101
Proenza Schouler,Premium,16,16,1997,27,27,20 to 50 Years,1,Existing,112,2014,17
Rachel Zoe,Contemporary,12,9,2011,13,13,10 to 20 Years,1,Existing,113,2014,3
Rafe,Contemporary,18,10,1997,27,27,20 to 50 Years,1,Existing,114,2014,17
Rag & Bone,Contemporary,15,14,2002,22,22,20 to 50 Years,1,Existing,115,2014,12
Rag & Bone/Jean,Contemporary,12,6,2002,22,22,20 to 50 Years,1,Existing,116,2014,12
Ramy Brook,Contemporary,11,11,2010,14,14,10 to 20 Years,1,Existing,117,2014,4
Rebecca Minkoff,Contemporary,13,11,2005,19,19,10 to 20 Years,1,Existing,118,2014,9
Rebecca Taylor,Contemporary,17,17,1996,28,28,20 to 50 Years,1,Existing,119,2014,18
Red Valentino,Contemporary,14,8,2003,21,21,20 to 50 Years,1,Existing,120,2014,11
Reed Krakoff,Contemporary,11,3,2010,14,14,10 to 20 Years,1,Existing,121,2014,4
Rene Caovilla,Premium,18,15,2004,20,20,10 to 20 Years,1,Existing,122,2014,10
Rick Owens,Premium,12,5,2014,10,10,5 to 10 Years,1,Existing,123,2014,0
Rickie Freeman For Teri Jon,Contemporary,15,14,1979,45,45,20 to 50 Years,1,Existing,124,2014,35
Robert Clergerie,Premium,19,11,2007,17,17,10 to 20 Years,1,Existing,125,2014,7
Robert Rodriguez,Contemporary,18,12,2003,21,21,20 to 50 Years,1,Existing,126,2014,11
Roberto Cavalli,Premium,19,16,1927,97,97,50 to 100 Years,1,Existing,127,2014,87
Roland Mouret,Premium,12,12,1981,43,43,20 to 50 Years,1,Existing,128,2014,33
Saint Laurent,Luxury,10,10,2012,12,12,10 to 20 Years,1,Existing,129,2014,2
Salvatore Ferragamo,Luxury,19,19,1927,97,97,50 to 100 Years,1,Existing,130,2014,87
See By Chloe,Contemporary,17,17,2001,23,23,20 to 50 Years,1,Existing,131,2014,13
Sergio Rossi,Premium,14,7,2008,16,16,10 to 20 Years,1,Existing,132,2014,6
Shoshanna,Contemporary,18,18,1998,26,26,20 to 50 Years,1,Existing,133,2014,16
Sophia Webster,Contemporary,10,10,2012,12,12,10 to 20 Years,1,Existing,134,2014,2
Sophie Hulme,Contemporary,10,5,2007,17,17,10 to 20 Years,1,Existing,135,2014,7
St. John,Contemporary,18,16,1962,62,62,50 to 100 Years,1,Existing,136,2014,52
Stella Mccartney,Premium,17,17,1970,54,54,50 to 100 Years,1,Existing,137,2014,44
Stuart Weitzman,Contemporary,19,19,1986,38,38,20 to 50 Years,1,Existing,138,2014,28
T By Alexander Wang,Contemporary,12,8,2009,15,15,10 to 20 Years,1,Existing,139,2014,5
Tabitha Simmons,Premium,11,6,1986,38,38,20 to 50 Years,1,Existing,140,2014,28
Tadashi Shoji,Contemporary,13,12,1982,42,42,20 to 50 Years,1,Existing,141,2014,32
Talbot Runhof,Contemporary,10,10,1992,32,32,20 to 50 Years,1,Existing,142,2014,22
The Row,Luxury,10,10,2006,18,18,10 to 20 Years,1,Existing,143,2014,8
